src,edge_attr,dst
53,medicine.icd_9_cm_classification.parent_classification,53
265,film.music_contributor.film,6
118,baseball.baseball_team_stats.team,14
199,award.award_honor.award_winner,0
158,film.film.genre,206
132,freebase.valuenotation.is_reviewed,26
35,freebase.type_hints.included_types,194
220,freebase.valuenotation.is_reviewed,26
677,sports.sports_championship_event.champion,14
92,music.recording.releases,678
347,common.topic.subjects,62
14,sports.professional_sports_team.draft_picks,613
37,people.person.profession,141
679,freebase.valuenotation.is_reviewed,103
248,freebase.valuenotation.has_no_value,105
63,people.ethnicity.languages_spoken,137
32,sports.sports_position.players,680
352,baseball.baseball_team_stats.team,14
582,freebase.valuenotation.has_no_value,111
120,people.person.profession,387
561,basketball.basketball_player.position_s,81
34,base.descriptive_names.names.descriptive_name,681
181,freebase.equivalent_topic.equivalent_type,181
272,sports.sports_team.roster,579
682,baseball.baseball_team_stats.team,14
32,sports.sports_position.players,429
683,baseball.baseball_team_stats.team,14
14,sports.professional_sports_team.draft_picks,231
14,baseball.baseball_team.team_stats,370
113,common.topic.notable_types,35
684,people.profession.people_with_this_profession,129
22,medicine.risk_factor.diseases,685
251,common.webpage.in_index,56
392,award.award_honor.award_winner,0
14,sports.professional_sports_team.draft_picks,515
366,sports.sports_award.season,259
129,people.person.children,184
2,award.award_winner.awards_won,544
42,media_common.netflix_title.netflix_genres,686
687,sports.sports_team_roster.position,32
2,film.producer.films_executive_produced,6
228,common.webpage.topic,7
69,location.country.administrative_divisions,276
71,film.film.release_date_s,431
200,film.film.country,69
6,film.film.other_crew,688
543,award.award_honor.award_winner,2
63,people.ethnicity.languages_spoken,486
689,film.film_crew_gig.film,42
6,film.film.starring,690
7,people.profession.specializations,691
506,sports.sports_award.team,272
692,common.webpage.in_index,56
377,people.person.sibling_s,693
241,film.film.language,137
580,award.award_honor.ceremony,67
694,film.film_crew_gig.film,6
2,tv.tv_actor.guest_roles,695
326,sports.sports_position.sport,361
42,film.film.other_crew,696
6,common.topic.webpage,697
14,sports.sports_team.championships,698
14,baseball.baseball_team.team_stats,633
570,award.award_honor.award_winner,2
14,sports.professional_sports_team.draft_picks,699
76,people.deceased_person.cause_of_death,91
2,film.person_or_entity_appearing_in_film.films,201
14,base.schemastaging.organization_extra.contact_webpages,700
7,fictional_universe.character_occupation.characters_with_this_occupation,701
7,common.topic.webpage,702
59,freebase.valuenotation.has_no_value,105
318,award.award_honor.award_winner,2
158,film.film.starring,11
45,freebase.type_profile.strict_included_types,35
22,medicine.risk_factor.diseases,703
32,sports.sports_position.players,704
282,tv.tv_regular_personal_appearance.person,2
14,sports.professional_sports_team.draft_picks,705
452,baseball.baseball_team_stats.team,14
158,common.topic.notable_types,31
42,film.film.starring,428
553,film.performance.film,71
42,award.award_nominated_work.award_nominations,706
6,film.film.other_crew,707
2,film.actor.film,708
655,film.personal_film_appearance.film,170
22,medicine.risk_factor.diseases,709
543,freebase.valuenotation.has_no_value,105
42,film.film.music,710
6,freebase.valuenotation.is_reviewed,336
220,people.person.profession,141
2,film.person_or_entity_appearing_in_film.films,663
711,film.film_regional_release_date.film,42
712,baseball.baseball_team_stats.team,14
328,award.award_category.winners,459
6,film.film.other_crew,713
587,freebase.valuenotation.is_reviewed,30
287,film.film.country,69
714,award.award_honor.award_winner,140
32,sports.sports_position.players,715
308,tv.regular_tv_appearance.series,211
2,basketball.basketball_player.position_s,24
716,business.employment_tenure.company,14
325,sports.sports_league_draft_pick.team,14
717,common.topic.notable_types,31
604,film.film_crew_gig.film,6
718,award.hall_of_fame_induction.inductee,2
6,film.film.other_crew,719
9,film.personal_film_appearance.film,142
720,common.topic.notable_types,446
578,freebase.valuenotation.has_no_value,105
714,award.award_honor.honored_for,6
14,organization.organization.previous_names,721
571,baseball.baseball_team_stats.team,14
2,award.award_winner.awards_won,459
45,type.type.domain,361
722,award.award_nomination.nominated_for,6
697,common.webpage.topic,6
645,sports.sports_league_participation.team,14
344,freebase.type_profile.published,18
723,common.topic.notable_types,446
7,fictional_universe.character_occupation.characters_with_this_occupation,724
245,medicine.disease.risk_factors,22
189,common.topic.notable_for,725
6,film.film.starring,726
727,film.film_crew_gig.film,6
481,medicine.disease.parent_disease,481
45,base.descriptive_names.names.descriptive_name,728
7,common.topic.webpage,729
43,media_common.netflix_title.netflix_genres,730
0,award.award_winner.awards_won,199
34,film.film_job.films_with_this_crew_job,731
122,tv.regular_tv_appearance.series,732
40,type.property.expected_type,477
162,award.award_category.disciplines_or_subjects,34
523,common.topic.notable_types,260
733,common.webpage.category,173
14,baseball.baseball_team.current_manager,575
734,film.film_regional_release_date.film,6
735,film.film_cut.film,71
736,common.webpage.topic,34
457,medicine.disease.risk_factors,306
2,book.author.works_written,189
737,tv.tv_guest_personal_appearance.appearance_type,247
738,film.film_crew_gig.film_crew_role,34
518,organization.organization.founders,2
34,base.descriptive_names.names.descriptive_name,739
32,sports.sports_position.players,740
2,award.award_winner.awards_won,36
498,common.webpage.in_index,56
205,freebase.type_profile.strict_included_types,194
347,people.person.gender,22
164,common.topic.notable_for,741
742,basketball.basketball_player_stats.season,743
260,type.type.expected_by,111
744,baseball.baseball_team_stats.team,14
2,tv.tv_program_guest.appeared_on,737
745,award.award_nomination.ceremony,67
746,common.webpage.in_index,56
101,freebase.valuenotation.is_reviewed,96
2,people.person.sibling_s,693
747,film.performance.actor,2
6,common.topic.article,748
740,sports.sports_team_roster.position,32
749,common.webpage.topic,42
42,film.film.written_by,537
42,award.award_nominated_work.award_nominations,66
360,freebase.valuenotation.has_no_value,105
268,film.film_crew_gig.film,6
218,freebase.valuenotation.has_value,26
733,common.webpage.in_index,236
14,sports.sports_team.previously_known_as,375
426,basketball.basketball_player_stats.season,750
140,award.award_winner.awards_won,714
751,people.person.profession,141
1,award.award_honor.award_winner,0
752,film.film_crew_gig.film_crew_role,34
534,people.person.gender,156
45,common.topic.notable_types,468
269,base.biblioness.bibs_location.country,69
753,rdf-schema#domain,17
447,common.webpage.topic,7
2,award.hall_of_fame_inductee.hall_of_fame_inductions,718
42,media_common.netflix_title.netflix_genres,207
158,media_common.netflix_title.netflix_genres,390
6,award.award_nominated_work.award_nominations,72
32,sports.sports_position.players,754
220,people.person.profession,34
755,award.award_nomination.nominated_for,42
43,award.award_nominated_work.award_nominations,238
623,common.image.appears_in_topic_gallery,2
22,base.animalnames.animal_gender.animal_names,756
7,common.topic.webpage,641
22,base.animalnames.animal_gender.animal_names,757
461,sports.sports_award.award,310
758,organization.leadership.organization,0
2,film.person_or_entity_appearing_in_film.films,759
26,type.property.schema,35
419,common.image.appears_in_topic_gallery,43
760,common.webpage.in_index,56
14,baseball.baseball_team.team_stats,761
45,base.descriptive_names.names.descriptive_name,762
14,sports.professional_sports_team.draft_picks,763
6,common.topic.webpage,760
600,baseball.baseball_team_stats.team,14
506,sports.sports_award.award_winner,2
764,base.gender.personal_gender_identity.gender_identity,22
32,common.topic.article,765
7,common.topic.webpage,766
14,base.popstra.organization.supporter,490
42,film.film.starring,767
6,common.topic.webpage,400
6,film.film.cinematography,768
14,baseball.baseball_team.current_coaches,629
769,tv.tv_guest_role.episodes_appeared_in,770
113,freebase.valuenotation.has_value,103
42,film.film.genre,390
201,film.personal_film_appearance.type_of_appearance,247
771,award.award_ceremony.awards_presented,502
492,award.award_nomination.award_nominee,772
335,film.film.country,69
71,media_common.netflix_title.netflix_genres,773
318,freebase.valuenotation.has_no_value,105
774,fictional_universe.fictional_character.gender,22
775,education.education.student,2
399,film.film_regional_release_date.film,6
2,basketball.basketball_player.player_statistics,776
363,tv.tv_program.regular_cast,395
777,base.animalnames.animal_specific_name_relationship.gender,22
165,freebase.valuenotation.has_value,26
14,sports.sports_team.arena_stadium,124
129,people.person.gender,156
14,sports.professional_sports_team.draft_picks,778
415,freebase.valuenotation.has_no_value,105
34,common.topic.webpage,639
779,common.webpage.in_index,56
12,common.topic.notable_types,35
176,award.award_nomination.award_nominee,2
347,freebase.valuenotation.is_reviewed,40
467,base.descriptive_names.names.descriptive_name,780
6,common.topic.webpage,781
346,biology.hybrid_parentage.parent_sex,22
534,people.person.parents,129
695,tv.tv_guest_role.actor,2
782,basketball.basketball_player_stats.season,783
2,people.person.children,218
784,film.film_regional_release_date.film,6
785,medicine.disease.risk_factors,22
2,common.topic.notable_types,45
6,film.film.release_date_s,786
62,common.topic.subjects,347
14,baseball.baseball_team.current_coaches,787
209,sports.sports_team_roster.position,32
43,film.film.starring,788
2,people.person.profession,467
579,sports.sports_team_roster.player,2
43,media_common.netflix_title.netflix_genres,206
42,media_common.netflix_title.netflix_genres,789
183,common.webpage.in_index,56
0,organization.organization.leadership,758
667,biology.hybrid_parentage.parent_sex,22
790,sports.sports_team_roster.position,32
6,film.film.starring,87
31,type.type.properties,30
21,education.educational_institution.campuses,21
14,freebase.valuenotation.has_value,753
22,biology.hybrid_parent_gender.hybrids,791
198,base.activism.activism_issue.includes_issues,792
132,people.person.gender,22
688,film.film_crew_gig.film,6
22,base.animalnames.animal_gender.animal_names,793
794,common.topic.notable_types,31
42,film.film.film_casting_director,795
14,baseball.baseball_team.team_stats,796
668,common.topic.notable_for,797
579,sports.sports_team_roster.position,24
141,common.topic.subjects,621
287,film.film.genre,207
57,sports.sports_team_roster.position,32
607,common.webpage.topic,7
574,freebase.valuenotation.is_reviewed,96
798,common.webpage.in_index,56
22,medicine.risk_factor.diseases,799
800,common.resource.annotations,801
802,freebase.valuenotation.has_no_value,803
804,finance.currency.countries_used,69
304,people.person.profession,7
220,base.activism.activist.area_of_activism,13
502,freebase.valuenotation.is_reviewed,805
461,sports.sports_award.award_winner,2
2,film.person_or_entity_appearing_in_film.films,674
229,freebase.valuenotation.is_reviewed,96
6,film.film.release_date_s,806
312,sports.sports_award_type.winners,350
807,tv.tv_guest_role.actor,2
782,basketball.basketball_player_stats.player,2
409,tv.tv_program.country_of_origin,69
551,basketball.basketball_player.position_s,326
220,freebase.valuenotation.is_reviewed,38
808,common.webpage.topic,14
809,location.location.containedby,276
229,people.person.nationality,69
2,award.award_nominee.award_nominations,176
466,sports.sports_league_season.awards,148
644,film.film.starring,495
6,film.film.release_date_s,5
441,common.topic.subjects,34
467,common.topic.notable_for,810
144,freebase.valuenotation.is_reviewed,26
267,medicine.disease.parent_disease,481
220,freebase.valuenotation.is_reviewed,103
101,book.book_subject.works,417
203,sports.sports_team_owner.teams_owned,14
34,common.topic.webpage,811
14,baseball.baseball_team.historical_managers,812
71,film.film.runtime,735
88,people.profession.specializations,467
772,award.award_nominee.award_nominations,492
42,film.film.starring,813
814,sports.sports_team_roster.position,32
358,award.award_category.nominees,357
6,film.film.other_crew,815
22,common.topic.notable_for,816
276,base.aareas.schema.administrative_area.administrative_parent,69
22,medicine.risk_factor.diseases,817
818,film.film_regional_release_date.film,6
34,freebase.type_profile.published,18
801,common.webpage.in_index,56
14,sports.professional_sports_team.owner_s,2
414,tv.tv_guest_role.episodes_appeared_in,2
798,common.webpage.topic,7
806,film.film_regional_release_date.film,6
587,film.film.country,69
704,sports.sports_team_roster.position,32
69,location.country.first_level_divisions,276
188,medicine.disease.risk_factors,22
549,common.topic.notable_types,205
819,freebase.valuenotation.has_no_value,105
820,biology.hybrid_parentage.parent_sex,22
32,common.topic.notable_types,468
402,people.sibling_relationship.sibling,821
822,common.webpage.topic,7
2,common.image.size,823
389,tv.tv_guest_role.episodes_appeared_in,586
275,location.location.containedby,69
129,people.person.profession,684
824,medicine.disease.risk_factors,63
581,freebase.type_hints.included_types,194
706,award.award_nomination.ceremony,67
6,film.film.film_art_direction_by,825
826,film.film_regional_release_date.film,6
229,base.sportbase.sport_club_coach.coaches,14
827,sports.sports_team_roster.position,32
380,film.film_crew_gig.film_crew_role,34
123,sports.team_venue_relationship.team,14
69,common.topic.notable_types,322
718,award.hall_of_fame_induction.hall_of_fame,828
14,sports.professional_sports_team.draft_picks,829
830,film.film_crew_gig.film_crew_role,34
342,people.sibling_relationship.sibling,256
0,award.award_winner.awards_won,831
61,people.person.gender,22
129,people.person.children,165
182,location.location.contains,21
124,location.location.events,677
832,award.award_nomination.nominated_for,6
14,common.topic.webpage,498
34,common.topic.subject_of,833
405,freebase.valuenotation.is_reviewed,103
180,common.webpage.in_index,56
6,film.film.executive_produced_by,252
510,sports.sports_award.award,328
14,sports.professional_sports_team.draft_picks,834
663,film.personal_film_appearance.person,2
13,base.activism.activism_issue.activists,835
71,film.film.starring,670
22,base.animalnames.animal_gender.animal_names,836
32,sports.sports_position.players,837
838,sports.sports_team_roster.position,32
275,freebase.valuenotation.has_value,753
43,film.film.genre,839
14,base.sportbase.sport_sport_club.player_role,840
320,sports.sports_league_participation.team,14
776,basketball.basketball_player_stats.player,2
6,film.film.release_date_s,841
229,medicine.notable_person_with_medical_condition.condition,842
843,common.resource.annotations,844
32,sports.sports_position.players,845
168,medicine.disease.risk_factors,22
152,people.person.place_of_birth,69
6,film.film.starring,846
537,film.writer.film,42
22,medicine.risk_factor.diseases,847
417,book.written_work.subjects,848
335,media_common.netflix_title.netflix_genres,730
42,film.film.starring,440
422,sports.sports_team_roster.position,32
2,award.award_nominee.award_nominations,492
575,people.person.gender,22
43,media_common.netflix_title.netflix_genres,849
850,baseball.baseball_team_stats.team,14
303,people.sibling_relationship.sibling,2
22,base.animalnames.animal_gender.animal_names,777
32,sports.sports_position.players,851
852,film.performance.film,43
301,award.award_honor.award_winner,772
6,film.film.other_crew,507
2,award.award_winner.awards_won,104
31,type.type.properties,336
71,common.topic.article,853
252,people.person.gender,22
189,common.topic.notable_types,424
2,award.award_winner.awards_won,51
854,baseball.current_coaching_tenure.baseball_team,14
14,baseball.baseball_team.team_stats,855
24,common.topic.image,856
67,award.award_ceremony.nominees,66
14,base.sportbase.sport_sport_club.club_owner,203
582,award.award_honor.award,294
287,film.film.language,137
842,medicine.disease.risk_factors,63
163,common.webpage.topic,6
545,sports.sports_team_roster.position,32
309,freebase.valuenotation.has_no_value,105
7,common.topic.webpage,460
651,common.webpage.in_index,56
544,freebase.valuenotation.has_no_value,111
387,people.profession.part_of_professional_field,857
2,award.award_winner.awards_won,591
753,type.property.schema,17
455,tv.tv_guest_role.actor,2
67,award.award_ceremony.nominees,745
69,base.locations.countries.states_provinces_within,276
62,common.topic.subjects,621
0,common.topic.notable_for,858
160,people.person.place_of_birth,269
859,sports.sports_league_draft_pick.team,14
860,film.film_film_distributor_relationship.film,6
45,base.descriptive_names.names.descriptive_name,861
862,basketball.basketball_player_stats.team,272
821,freebase.valuenotation.has_value,40
385,award.award_nomination.nominated_for,6
45,base.descriptive_names.names.descriptive_name,863
59,award.award_honor.award_winner,0
715,sports.sports_team_roster.position,32
34,film.film_job.films_with_this_crew_job,752
222,film.performance.film,221
787,baseball.current_coaching_tenure.baseball_team,14
42,common.topic.webpage,295
587,base.familyguy.family_guy_reference.episodes,664
2,tv.tv_actor.starring_roles,308
152,freebase.valuenotation.has_value,38
184,freebase.valuenotation.has_value,103
250,film.performance.film,287
67,award.award_ceremony.awards_presented,80
864,film.film.starring,747
129,people.person.spouse_s,107
328,award.award_category.winners,214
22,medicine.risk_factor.diseases,865
14,baseball.baseball_team.current_coaches,576
137,language.human_language.main_country,69
14,baseball.baseball_team.team_stats,546
259,sports.sports_league_season.awards,461
866,common.webpage.topic,7
7,common.topic.webpage,538
53,medicine.icd_9_cm_classification.includes_classifications,53
42,common.topic.webpage,749
103,owl#inverseOf,867
42,film.film.executive_produced_by,2
2,film.producer.film,43
42,film.film.edited_by,868
540,tv.tv_crew_gig.tv_crew_role,7
433,basketball.basketball_player_stats.team,272
576,baseball.current_coaching_tenure.baseball_coach,575
579,sports.sports_team_roster.team,272
6,film.film.release_date_s,734
189,common.topic.article,869
262,film.film.personal_appearances,674
2,basketball.basketball_player.player_statistics,862
7,base.descriptive_names.names.descriptive_name,870
256,freebase.valuenotation.has_value,103
71,film.film.starring,871
872,freebase.valuenotation.has_no_value,105
189,award.award_nominated_work.award_nominations,357
873,common.webpage.topic,7
2,people.person.profession,7
32,sports.sports_position.players,874
47,common.webpage.in_index,56
606,award.award_ceremony.nominees,176
332,common.webpage.in_index,56
28,base.rivalries.rivalry.rival,375
7,common.topic.subjects,676
766,common.webpage.in_index,56
6,film.film.starring,875
14,sports.professional_sports_team.draft_picks,329
844,common.webpage.topic,2
22,base.gender.gender_identity.people,764
265,people.person.gender,22
794,film.film.personal_appearances,876
2,freebase.valuenotation.is_reviewed,103
781,common.webpage.topic,6
37,freebase.valuenotation.is_reviewed,40
2,symbols.name_source.namesakes,518
276,location.administrative_division.first_level_division_of,69
205,freebase.type_hints.included_types,194
293,freebase.valuenotation.has_no_value,105
129,freebase.valuenotation.has_value,38
227,people.person.nationality,69
22,base.animalnames.animal_gender.animal_names,877
38,type.property.schema,35
878,medicine.disease.risk_factors,188
879,baseball.baseball_team_stats.team,14
42,common.topic.webpage,569
880,common.webpage.in_index,56
117,common.topic.article,881
882,film.performance.film,602
22,medicine.risk_factor.diseases,883
136,film.film.genre,390
884,film.film_film_distributor_relationship.film,42
112,common.topic.notable_types,424
14,baseball.baseball_team.team_stats,643
223,freebase.valuenotation.has_value,103
22,medicine.risk_factor.diseases,885
679,freebase.valuenotation.is_reviewed,96
0,award.award_winner.awards_won,886
140,film.actor.film,386
183,common.webpage.topic,7
496,sports.sports_team_roster.position,32
481,medicine.disease.risk_factors,22
7,fictional_universe.character_occupation.characters_with_this_occupation,887
534,people.person.sibling_s,303
22,medicine.risk_factor.diseases,888
0,organization.organization.founders,464
6,film.film.release_date_s,264
889,base.animalnames.animal_specific_name_relationship.gender,22
890,sports.sports_team_roster.team,272
357,award.award_nomination.ceremony,771
269,location.hud_county_place.place,269
891,sports.sports_team_roster.position,32
892,common.webpage.topic,7
301,award.award_honor.honored_for,300
113,people.person.sibling_s,402
152,people.person.children,83
34,music.music_video_job.music_videos_with_this_crew_job,650
597,media_common.media_genre.parent_genre,390
22,freebase.domain_category.domains,893
894,rdf-schema#range,477
164,freebase.valuenotation.has_value,103
14,sports.professional_sports_team.draft_picks,653
34,base.descriptive_names.names.descriptive_name,895
154,award.award_nomination.nominated_for,42
71,common.topic.notable_for,896
851,sports.sports_team_roster.position,32
801,common.webpage.resource,800
897,film.film_cut.film,6
148,sports.sports_award.award,147
14,baseball.baseball_team.team_stats,898
164,people.person.children,256
821,freebase.valuenotation.has_value,26
133,film.film_cut.film,42
14,sports.professional_sports_team.draft_picks,27
6,award.award_winning_work.awards_won,714
434,common.webpage.topic,7
437,film.performance.actor,2
34,people.profession.specializations,899
876,film.personal_film_appearance.person,2
862,basketball.basketball_player_stats.season,900
801,common.webpage.topic,2
32,sports.sports_position.players,901
14,common.topic.webpage,808
22,fictional_universe.fictional_setting.fictional_characters_born_here,902
32,sports.sports_position.players,903
904,sports.sports_team_roster.position,32
129,freebase.valuenotation.has_value,40
259,sports.sports_league_season.awards,366
21,education.educational_institution.students_graduates,20
35,type.type.properties,40
2,organization.organization_founder.organizations_founded,518
6,film.film.film_production_design_by,905
32,sports.sports_position.players,906
907,common.topic.notable_types,344
13,base.activism.activism_issue.activists,908
34,people.profession.corresponding_type,34
181,freebase.type_hints.included_types,35
601,tv.tv_guest_role.episodes_appeared_in,909
763,sports.sports_league_draft_pick.team,14
458,sports.sports_team_roster.position,32
198,base.activism.activism_issue.includes_issues,13
310,common.topic.image,856
638,measurement_unit.dated_money_value.currency,804
14,organization.organization.leadership,910
43,film.film.starring,911
502,award.award_honor.award,358
22,medicine.risk_factor.diseases,54
617,common.webpage.in_index,56
71,film.film.starring,550
223,freebase.valuenotation.has_value,40
63,medicine.risk_factor.diseases,824
42,film.film.directed_by,537
6,film.film.starring,912
14,award.award_winner.awards_won,913
96,rdf-schema#domain,35
2,common.image.appears_in_topic_gallery,330
914,common.webpage.in_index,56
374,base.rivalries.rivalry.kind_of_rivalry,29
915,base.animalnames.animal_specific_name_relationship.gender,22
252,freebase.valuenotation.is_reviewed,96
14,baseball.baseball_team.team_stats,916
679,freebase.valuenotation.has_value,38
22,freebase.domain_category.domains,917
304,people.person.gender,22
20,education.education.student,2
6,common.topic.webpage,135
34,freebase.type_hints.included_types,35
918,common.webpage.in_index,56
17,freebase.type_hints.included_types,194
34,common.topic.notable_types,468
287,media_common.netflix_title.netflix_genres,159
11,film.performance.special_performance_type,247
919,sports.sports_team_roster.position,32
22,common.topic.notable_types,920
42,film.film.other_crew,614
32,sports.sports_position.players,921
45,base.descriptive_names.names.descriptive_name,922
34,film.film_job.films_with_this_crew_job,391
493,award.award_ceremony.awards_presented,301
140,freebase.valuenotation.is_reviewed,96
14,base.ontologies.ontology_instance.equivalent_instances,177
476,rdf-schema#domain,31
202,freebase.valuenotation.has_no_value,111
855,baseball.baseball_team_stats.team,14
164,freebase.valuenotation.has_value,40
34,film.film_job.films_with_this_crew_job,923
2,award.award_winner.awards_won,640
22,medicine.risk_factor.diseases,924
22,medicine.risk_factor.diseases,401
467,base.descriptive_names.names.descriptive_name,925
2,people.person.education,775
32,sports.sports_position.players,926
2,common.topic.image,512
45,freebase.type_profile.equivalent_topic,45
31,freebase.type_hints.included_types,194
282,tv.tv_regular_personal_appearance.program,211
34,common.topic.subjects,421
260,freebase.type_profile.strict_included_types,194
45,freebase.documented_object.documentation,927
7,common.topic.webpage,918
2,sports.pro_athlete.teams,890
570,award.award_honor.award,312
14,organization.organization.previous_names,928
34,common.topic.webpage,929
6,common.topic.notable_for,930
374,base.rivalries.rivalry.rival,14
7,fictional_universe.character_occupation.characters_with_this_occupation,425
188,medicine.disease.parent_disease,481
931,award.award_honor.award_winner,0
256,common.topic.notable_types,35
337,film.film_crew_gig.film,6
37,people.person.profession,34
416,base.animalnames.animal_specific_name_relationship.gender,22
34,base.descriptive_names.names.descriptive_name,932
121,common.topic.notable_types,446
933,tv.tv_guest_role.episodes_appeared_in,934
732,tv.tv_program.genre,504
390,base.kinometric.genre.incompatible_genres,206
256,people.person.parents,129
636,type.property.schema,17
42,film.film.other_crew,935
395,tv.regular_tv_appearance.series,363
615,film.performance.film,42
269,travel.travel_destination.tourist_attractions,124
287,film.film.rating,608
6,film.film.runtime,897
8,common.webpage.in_index,56
164,people.person.children,184
936,award.award_category.winners,51
32,people.profession.part_of_professional_field,857
22,biology.hybrid_parent_gender.hybrids,937
679,freebase.valuenotation.is_reviewed,26
164,people.person.spouse_s,107
2,award.award_winner.awards_won,570
333,biology.hybrid_parentage.parent_sex,22
2,common.topic.image,623
202,award.award_honor.award,294
167,medicine.disease.risk_factors,63
6,film.film.executive_produced_by,938
866,common.webpage.in_index,56
0,award.award_winner.awards_won,292
214,award.award_honor.award,328
441,freebase.valuenotation.has_value,26
939,film.film_crew_gig.film,6
42,freebase.valuenotation.is_reviewed,476
21,education.educational_institution_campus.educational_institution,21
7,tv.tv_crew_role.tv_episodes,407
561,people.person.profession,45
222,film.performance.actor,2
802,award.award_nomination.award_nominee,14
7,common.topic.webpage,940
6,film.film.other_crew,338
941,film.performance.film,71
619,film.personal_film_appearance.person,14
13,base.activism.activism_issue.activists,942
448,tv.tv_guest_role.episodes_appeared_in,720
327,sports.sports_award.award_winner,2
417,book.written_work.subjects,466
708,film.performance.film,255
943,baseball.baseball_team_stats.team,14
297,freebase.valuenotation.has_value,40
690,film.performance.film,6
502,award.award_honor.ceremony,771
43,film.film.starring,435
237,base.gender.personal_gender_identity.gender_identity,22
32,sports.sports_position.players,944
14,business.employer.employees,945
42,common.topic.article,946
2,tv.tv_actor.guest_roles,64
2,award.award_winner.awards_won,311
125,sports.sports_team_coach_tenure.position,32
2,award.award_winner.awards_won,80
35,type.type.properties,103
542,film.film.language,137
947,rdf-schema#domain,205
45,fictional_universe.character_occupation.characters_with_this_occupation,948
949,base.gender.personal_gender_identity.gender_identity,22
269,sports.sports_team_location.teams,272
656,people.sibling_relationship.sibling,2
140,freebase.valuenotation.is_reviewed,38
335,film.film.genre,206
278,award.award_nomination.award_nominee,14
950,film.performance.actor,2
717,film.film.language,137
2,organization.organization_founder.organizations_founded,0
32,sports.sports_position.players,904
951,baseball.baseball_team_stats.team,14
22,medicine.risk_factor.diseases,306
344,freebase.type_hints.included_types,194
886,freebase.valuenotation.has_no_value,105
197,freebase.valuenotation.is_reviewed,40
192,film.film_film_distributor_relationship.film,42
34,film.film_job.films_with_this_crew_job,952
14,baseball.baseball_team.team_stats,953
230,sports.sports_team_roster.position,32
22,medicine.risk_factor.diseases,954
2,film.person_or_entity_appearing_in_film.films,522
132,people.person.profession,141
62,common.topic.subject_of,347
457,medicine.disease.parent_disease,481
22,medicine.risk_factor.diseases,842
14,award.award_nominee.award_nominations,802
664,common.topic.notable_for,955
32,sports.sports_position.players,956
492,award.award_nomination.award,596
269,sports.sports_team_location.teams,14
69,base.biblioness.bibs_topic.subsumes,69
43,common.topic.notable_for,957
216,freebase.type_profile.kind,958
76,people.deceased_person.place_of_death,269
181,common.topic.notable_types,468
878,medicine.disease.risk_factors,22
198,base.activism.activism_issue.activists,37
537,people.person.gender,22
425,fictional_universe.fictional_character.gender,156
0,award.award_winner.awards_won,931
99,sports.sports_team_roster.position,32
267,people.cause_of_death.parent_cause_of_death,481
32,sports.sports_position.players,396
287,media_common.netflix_title.netflix_genres,390
34,freebase.type_hints.included_types,194
959,common.webpage.topic,42
842,medicine.disease.notable_people_with_this_condition,229
22,biology.hybrid_parent_gender.hybrids,820
2,film.actor.film,960
2,award.award_winner.awards_won,543
961,sports.sports_team_roster.position,32
91,medicine.risk_factor.diseases,962
450,basketball.basketball_player_stats.season,394
6,common.topic.webpage,219
14,base.rivalries.rival.rivals,28
22,common.topic.article,963
172,common.webpage.in_index,236
136,film.film.prequel,664
227,people.person.gender,22
674,film.personal_film_appearance.person,2
43,film.film.starring,470
353,common.topic.subjects,62
871,film.performance.film,71
664,base.familyguy.family_guy_episode.references,2
328,sports.sports_award_type.winners,327
119,film.film_regional_release_date.film,6
363,tv.tv_program.genre,504
197,people.person.gender,22
964,film.performance.film,43
350,sports.sports_award.award_winner,2
310,award.award_category.winners,544
34,fictional_universe.character_occupation.characters_with_this_occupation,965
367,film.writer.film,6
7,common.topic.webpage,228
310,award.award_category.winners,309
7,common.topic.webpage,966
367,people.person.gender,22
2,common.topic.webpage,844
395,tv.regular_tv_appearance.actor,2
7,fictional_universe.character_occupation.characters_with_this_occupation,967
218,people.person.parents,2
968,common.webpage.in_index,56
182,location.location.contains,969
970,base.activism.activist.area_of_activism,13
141,common.topic.subject_of,160
22,medicine.risk_factor.diseases,971
2,tv.tv_actor.guest_roles,97
461,sports.sports_award.team,272
256,people.person.gender,22
6,film.film.starring,972
14,baseball.baseball_team.team_stats,973
42,film.film.distributors,884
92,common.topic.notable_for,974
22,biology.hybrid_parent_gender.hybrids,599
383,freebase.valuenotation.has_value,103
34,common.topic.image,975
976,baseball.baseball_team_stats.team,14
75,film.film_regional_release_date.film,43
14,business.employer.employees,716
45,people.profession.corresponding_type,45
590,baseball.baseball_team_stats.team,14
6,film.film.release_date_s,471
42,film.film.other_crew,977
351,freebase.valuenotation.is_reviewed,40
864,common.topic.notable_types,31
42,common.topic.webpage,530
914,common.webpage.topic,6
978,award.award_nomination.nominated_for,42
640,award.award_honor.award,979
42,film.film.genre,465
980,common.webpage.in_index,56
43,freebase.valuenotation.has_value,947
894,type.property.expected_type,477
722,award.award_nomination.award_nominee,140
981,sports.sports_league_draft_pick.team,14
872,freebase.valuenotation.has_no_value,111
751,film.producer.films_executive_produced,6
982,measurement_unit.dated_money_value.currency,804
950,film.performance.film,241
13,base.activism.activism_issue.activists,983
933,tv.tv_guest_role.actor,2
551,common.topic.notable_types,45
95,people.person.gender,156
182,location.location.nearby_airports,253
62,common.topic.subjects,984
81,sports.sports_position.sport,361
940,common.webpage.in_index,56
